"일자","요일","도로명","링크아이디","시점명","종점명","방향","거리","차선수","기능유형구분","도심.외곽구분","권역구분","X18시"
20200801,"토","양재천로",1210011400,"영동2교북단","영동1교북단","하행",708,1,"기타도로","외곽","강남구",24.52
20200801,"토","언주로",1220036800,"성수대교남단","성수대교남단교차로","상행",419,3,"주간선도로","외곽","강남구",20.27
20200801,"토","언주로",1220035200,"성수대교남단교차로","도산공원","상행",860,4,"주간선도로","외곽","강남구",26.28
20200801,"토","언주로",1220033000,"도산공원","서울세관","상행",701,4,"주간선도로","외곽","강남구",20.36
20200801,"토","언주로",1220029800,"서울세관","경복아파트","상행",829,4,"주간선도로","외곽","강남구",25.34
20200801,"토","언주로",1220027400,"경복아파트","르네상스호텔","상행",783,4,"주간선도로","외곽","강남구",19.74
20200801,"토","언주로",1220024600,"르네상스호텔","개나리아파트","상행",484,4,"주간선도로","외곽","강남구",18.44
20200801,"토","언주로",1220021400,"개나리아파트","영동세브란스","상행",509,4,"주간선도로","외곽","강남구",23.51
20200801,"토","언주로",1220016000,"영동세브란스","매봉터널","상행",702,3,"주간선도로","외곽","강남구",23.17
20200801,"토","언주로",1220011400,"매봉터널","영동3교(남단)","상행",468,4,"주간선도로","외곽","강남구",36.86
20200801,"토","언주로",1220008400,"영동3교(남단)","구룡초교","상행",418,4,"주간선도로","외곽","강남구",16.44
20200801,"토","언주로",1220006800,"구룡초교","구룡터널","상행",717,4,"주간선도로","외곽","강남구",33.6
20200801,"토","언주로",1210007800,"구룡터널","내곡IC","상행",2429,2,"주간선도로","외곽","강남구",42.32
20200801,"토","언주로",1220006900,"구룡터널","구룡초교","하행",717,4,"주간선도로","외곽","강남구",23.35
20200801,"토","언주로",1220008500,"구룡초교","영동3교(남단)","하행",418,4,"주간선도로","외곽","강남구",34.67
20200801,"토","언주로",1220011500,"영동3교(남단)","매봉터널","하행",468,4,"주간선도로","외곽","강남구",20.52
20200801,"토","언주로",1220016100,"매봉터널","영동세브란스","하행",700,3,"주간선도로","외곽","강남구",16.58
20200801,"토","언주로",1220021500,"영동세브란스","개나리아파트","하행",509,4,"주간선도로","외곽","강남구",24.55
20200801,"토","언주로",1220024700,"개나리아파트","르네상스호텔","하행",484,4,"주간선도로","외곽","강남구",22.41
20200801,"토","언주로",1220027500,"르네상스호텔","경복아파트","하행",786,4,"주간선도로","외곽","강남구",26.13
20200801,"토","언주로",1220029900,"경복아파트","서울세관","하행",821,4,"주간선도로","외곽","강남구",25.98
20200801,"토","언주로",1220033100,"서울세관","도산공원","하행",705,4,"주간선도로","외곽","강남구",23.32
20200801,"토","언주로",1220035300,"도산공원","성수대교남단교차로","하행",855,4,"주간선도로","외곽","강남구",20.58
20200801,"토","언주로",1220036900,"성수대교남단교차로","성수대교남단","하행",419,3,"주간선도로","외곽","강남구",42
20200801,"토","언주로",1220037300,"성수대교남단","성수대교북단","하행",852,4,"주간선도로","외곽","강남구",23.01
20200801,"토","역삼로",1220019500,"우성아파트","역삼초교","상행",324,2,"보조간선도로","외곽","강남구",21.5
20200801,"토","역삼로",1220020700,"역삼초교","구역삼세무서","상행",552,2,"보조간선도로","외곽","강남구",21.76
20200801,"토","역삼로",1220022300,"구역삼세무서","개나리아파트","상행",569,2,"보조간선도로","외곽","강남구",18.46
20200801,"토","역삼로",1220023900,"개나리아파트","도성초교","상행",587,2,"보조간선도로","외곽","강남구",22.42
20200801,"토","역삼로",1220025500,"도성초교","대치사거리","상행",745,2,"보조간선도로","외곽","강남구",19.04
20200801,"토","역삼로",1220026500,"대치사거리","휘문고교","상행",620,2,"보조간선도로","외곽","강남구",22.58
20200801,"토","역삼로",1220027100,"휘문고교","강남면허시험장","상행",337,1,"보조간선도로","외곽","강남구",29.93
20200801,"토","역삼로",1220027000,"강남면허시험장","휘문고교","하행",324,2,"보조간선도로","외곽","강남구",24.32
20200801,"토","역삼로",1220026400,"휘문고교","대치사거리","하행",619,2,"보조간선도로","외곽","강남구",12.36
20200801,"토","역삼로",1220025400,"대치사거리","도성초교","하행",745,2,"보조간선도로","외곽","강남구",18.18
20200801,"토","역삼로",1220023800,"도성초교","개나리아파트","하행",588,3,"보조간선도로","외곽","강남구",18.87
20200801,"토","역삼로",1220022200,"개나리아파트","구역삼세무서","하행",569,2,"보조간선도로","외곽","강남구",17.66
20200801,"토","역삼로",1220020600,"구역삼세무서","역삼초교","하행",552,2,"보조간선도로","외곽","강남구",21.82
20200801,"토","역삼로",1220019400,"역삼초교","우성아파트","하행",324,2,"보조간선도로","외곽","강남구",21.02
20200801,"토","영동대로",1220004800,"영동대교남단","영동대교남단교차로","상행",182,3,"주간선도로","외곽","강남구",25.88
20200801,"토","영동대로",1220004200,"영동대교남단교차로","경기고교앞","상행",601,5,"주간선도로","외곽","강남구",22.14
20200801,"토","영동대로",1220004000,"경기고교앞","코엑스","상행",704,6,"주간선도로","외곽","강남구",27.07
20200801,"토","영동대로",1220003300,"코엑스","삼성역","상행",652,5,"주간선도로","외곽","강남구",21.11
20200801,"토","영동대로",1220003100,"삼성역","휘문고교","상행",440,3,"주간선도로","외곽","강남구",21.04
20200801,"토","영동대로",1220002700,"휘문고교","대치동우성아파트","상행",512,3,"주간선도로","외곽","강남구",21.56
20200801,"토","영동대로",1220002200,"대치동우성아파트","학여울역","상행",545,3,"주간선도로","외곽","강남구",22.97
20200801,"토","영동대로",1220001900,"학여울역","영동6교","상행",273,5,"주간선도로","외곽","강남구",37.16
20200801,"토","영동대로",1220001500,"영동6교","대모산입구역","상행",342,4,"주간선도로","외곽","강남구",24.69
20200801,"토","영동대로",1220001100,"대모산입구역","공무원연금매점","상행",321,4,"주간선도로","외곽","강남구",38.85
